group,_bin,mem_mb,cpu_pct_1core,,
parsl,250,31673.09,2890.458,316730.9,8671.374
parsl,252,6235.04,1682.472,62350.4,5047.416
parsl,254,3471.88,875.934,34718.8,2627.802
parsl,256,4811.21,773.814,48112.1,2321.442
parsl,258,13740.94,1750.71,137409.4,5252.13
parsl,260,11648.98,2231.925,116489.8,6695.775
parsl,262,5344.69,1033.359,53446.9,3100.077
parsl,264,5673.63,2105.301,56736.3,6315.903
parsl,266,16430.59,2784.105,164305.9,8352.315
parsl,268,12152.5,1350.324,121525,4050.972
parsl,270,2545.59,959.628,25455.9,2878.884
parsl,272,4581.21,1015.68,45812.1,3047.04
parsl,274,7379.65,710.169,73796.5,2130.507
parsl,276,12012.27,3855.159,120122.7,11565.477
parsl,278,1904.38,729.312,19043.8,2187.936
parsl,280,3816.37,1132.422,38163.7,3397.266
parsl,282,24461.33,4109.886,244613.3,12329.658
parsl,284,6480.2,999.528,64802,2998.584
parsl,286,2438.67,809.844,24386.7,2429.532
parsl,288,4338.09,565.158,43380.9,1695.474
parsl,290,14881.09,1593.702,148810.9,4781.106
parsl,292,11803.98,3039.471,118039.8,9118.413
parsl,294,1974.02,675.612,19740.2,2026.836
parsl,296,5674.8,2081.922,56748,6245.766
parsl,298,25792.85,1676.835,257928.5,5030.505
parsl,300,11684.57,2692.458,116845.7,8077.374
parsl,302,3860.08,1395.687,38600.8,4187.061
parsl,304,5954.14,844.44,59541.4,2533.32
parsl,306,9462.46,626.289,94624.6,1878.867
parsl,308,11834.49,3241.38,118344.9,9724.14
parsl,310,2967.07,1258.134,29670.7,3774.402
parsl,312,4468.71,1126.971,44687.1,3380.913
parsl,314,7512.23,938.1,75122.3,2814.3
parsl,316,6621.68,4422.645,66216.8,13267.935
parsl,318,3392.34,646.044,33923.4,1938.132
parsl,320,4449.34,784.857,44493.4,2354.571
parsl,322,12266.33,1959.594,122663.3,5878.782
parsl,324,11437.38,2144.736,114373.8,6434.208
parsl,326,1425.74,648.054,14257.4,1944.162
parsl,328,4287.15,1508.718,42871.5,4526.154
parsl,330,18721.33,2768.736,187213.3,8306.208
parsl,332,11123.67,2249.406,111236.7,6748.218
parsl,334,2305.47,1573.305,23054.7,4719.915
parsl,336,5938.44,1254.315,59384.4,3762.945
parsl,338,26398.52,1403.589,263985.2,4210.767
parsl,340,11422.73,1582.221,114227.3,4746.663
parsl,342,6687.5,1452.819,66875,4358.457
parsl,344,4379.49,1315.278,43794.9,3945.834
parsl,346,7262.54,1245.417,72625.4,3736.251
parsl,348,6579.22,4354.938,65792.2,13064.814
parsl,350,3346.56,1046.673,33465.6,3140.019
parsl,352,4728.63,785.871,47286.3,2357.613
parsl,354,14915.31,2015.727,149153.1,6047.181
parsl,356,11706.05,1655.13,117060.5,4965.39
parsl,358,2969.61,1608.252,29696.1,4824.756
parsl,360,5027.85,1245.177,50278.5,3735.531
parsl,362,18820.31,2453.592,188203.1,7360.776
parsl,364,10838.05,2876.898,108380.5,8630.694
parsl,366,2910.16,1279.365,29101.6,3838.095
parsl,368,4461.99,944.373,44619.9,2833.119
parsl,370,6148.32,504.81,61483.2,1514.43
parsl,372,27837.89,2055.549,278378.9,6166.647
parsl,374,3056.8,2759.664,30568,8278.992
parsl,376,5169.02,1255.065,51690.2,3765.195
parsl,378,7397.15,621.948,73971.5,1865.844
parsl,380,11712.73,4145.142,117127.3,12435.426
parsl,382,1862.34,1498.023,18623.4,4494.069
parsl,384,5726.05,1642.644,57260.5,4927.932
parsl,386,24246.02,1348.242,242460.2,4044.726
parsl,388,12585.12,2322.255,125851.2,6966.765
parsl,390,1806.52,892.146,18065.2,2676.438
parsl,392,4748.55,1576.509,47485.5,4729.527
parsl,394,7433.48,768.492,74334.8,2305.476
parsl,396,11887.66,4571.325,118876.6,13713.975
parsl,398,2761.41,1187.589,27614.1,3562.767
parsl,400,5476.13,1213.095,54761.3,3639.285
parsl,402,8769.8,786.609,87698,2359.827
parsl,404,11510,2967.249,115100,8901.747
parsl,406,3008.63,835.926,30086.3,2507.778
parsl,408,4660,951.537,46600,2854.611
parsl,410,7356.48,772.716,73564.8,2318.148
parsl,412,12771.56,3124.95,127715.6,9374.85
parsl,414,4060.04,2875.152,40600.4,8625.456
parsl,416,5483.4,564.579,54834,1693.737
parsl,418,8423.05,635.37,84230.5,1906.11
parsl,420,11691.99,2535.618,116919.9,7606.854
parsl,422,2939.06,1419.255,29390.6,4257.765
parsl,424,4345.94,1015.797,43459.4,3047.391
parsl,426,10704.45,1624.2,107044.5,4872.6
parsl,428,12631.02,3206.013,126310.2,9618.039
parsl,430,2471.41,1745.619,24714.1,5236.857
parsl,432,6086.09,1571.679,60860.9,4715.037
parsl,434,10073.2,823.524,100732,2470.572
parsl,436,11464.8,2838.921,114648,8516.763
parsl,438,2843.75,938.364,28437.5,2815.092
parsl,440,4154.57,668.676,41545.7,2006.028
parsl,442,6019.65,905.436,60196.5,2716.308
parsl,444,12456.29,4440.36,124562.9,13321.08
parsl,446,3708.55,2333.028,37085.5,6999.084
parsl,448,5793.12,655.986,57931.2,1967.958
parsl,450,9823.4,931.716,98234,2795.148
parsl,452,12969.38,2346.093,129693.8,7038.279
parsl,454,7091.21,1037.364,70912.1,3112.092
parsl,456,4540.31,1868.829,45403.1,5606.487
parsl,458,14398.63,2548.962,143986.3,7646.886
parsl,460,6699.84,2781.996,66998.4,8345.988
parsl,462,2808.48,1109.616,28084.8,3328.848
parsl,464,4952.97,1098.606,49529.7,3295.818
parsl,466,7435.35,666.573,74353.5,1999.719
parsl,468,12642.34,3119.013,126423.4,9357.039
parsl,470,7081.52,824.838,70815.2,2474.514
parsl,472,4994.92,1713.054,49949.2,5139.162
parsl,474,10473.63,1337.253,104736.3,4011.759
parsl,476,11808.24,3187.263,118082.4,9561.789
parsl,478,3433.05,1901.265,34330.5,5703.795
parsl,480,5526.09,1105.662,55260.9,3316.986
parsl,482,11454.22,1842.186,114542.2,5526.558
parsl,484,11358.52,1915.68,113585.2,5747.04
parsl,486,2121.76,954.534,21217.6,2863.602
parsl,488,3742.03,382.848,37420.3,1148.544
parsl,490,5858.44,1143.681,58584.4,3431.043
parsl,492,6666.13,4877.97,66661.3,14633.91
parsl,494,3617.81,1298.178,36178.1,3894.534
parsl,496,5169.34,1074.63,51693.4,3223.89
parsl,498,9541.68,796.029,95416.8,2388.087
parsl,500,11288.95,3230.781,112889.5,9692.343
parsl,502,2650.16,921.249,26501.6,2763.747
parsl,504,4137.58,677.382,41375.8,2032.146
parsl,506,6850.43,1076.409,68504.3,3229.227
parsl,508,11901.02,4635.534,119010.2,13906.602
parsl,510,1950.43,733.269,19504.3,2199.807
parsl,512,5799.38,1460.865,57993.8,4382.595
parsl,514,12012.11,1531.977,120121.1,4595.931
parsl,516,12863.12,1432.611,128631.2,4297.833
parsl,518,3055.31,1946.766,30553.1,5840.298
parsl,520,4648.44,929.67,46484.4,2789.01
parsl,522,5935.2,394.986,59352,1184.958
parsl,524,11799.84,4988.421,117998.4,14965.263
parsl,526,3029.34,1279.137,30293.4,3837.411
parsl,528,5220.66,1089.75,52206.6,3269.25
parsl,530,7597.89,596.793,75978.9,1790.379
parsl,532,11567.19,1382.505,115671.9,4147.515
parsl,534,2968.67,2997.282,29686.7,8991.846
parsl,536,4382.66,1089.495,43826.6,3268.485
parsl,538,27294.57,2283.702,272945.7,6851.106
parsl,540,11912.42,2855.355,119124.2,8566.065
parsl,542,3733.55,1269.45,37335.5,3808.35
parsl,544,5129.8,891.636,51298,2674.908
parsl,546,8223.59,722.205,82235.9,2166.615
parsl,548,16381.68,1891.08,163816.8,5673.24
parsl,550,3087.23,2573.181,30872.3,7719.543
parsl,552,5074.34,1218.276,50743.4,3654.828
parsl,554,7255.98,590.961,72559.8,1772.883
parsl,556,6626.09,4615.08,66260.9,13845.24
parsl,558,2880.82,1175.673,28808.2,3527.019
parsl,560,4999.06,991.374,49990.6,2974.122
parsl,562,7447.93,629.19,74479.3,1887.57
parsl,564,12603.91,2766.945,126039.1,8300.835
parsl,566,2171.21,1558.368,21712.1,4675.104
parsl,568,5074.77,1446.078,50747.7,4338.234
parsl,570,12973.87,2048.292,129738.7,6144.876
parsl,572,12417.3,1795.491,124173,5386.473
parsl,574,3443.71,2796.129,34437.1,8388.387
parsl,576,4721.29,358.218,47212.9,1074.654
parsl,578,10400.2,2229.768,104002,6689.304
parsl,580,14098.87,1352.223,140988.7,4056.669
parsl,582,2228.01,1390.068,22280.1,4170.204
parsl,584,4741.99,1179.798,47419.9,3539.394
parsl,586,8718.83,1397.025,87188.3,4191.075
parsl,588,7023.91,4017.192,70239.1,12051.576
parsl,590,2237.19,1216.209,22371.9,3648.627
parsl,592,4648.2,1162.614,46482,3487.842
parsl,594,10853.48,2175.186,108534.8,6525.558
parsl,596,7722.93,2044.827,77229.3,6134.481
parsl,598,2407.03,1091.919,24070.3,3275.757
parsl,600,4713.4,829.539,47134,2488.617
parsl,602,7420.66,1098.891,74206.6,3296.673
parsl,604,6858.52,4509.951,68585.2,13529.853
parsl,606,3207.38,1484.052,32073.8,4452.156
parsl,608,5062.42,971.373,50624.2,2914.119
