group,_bin,mem_mb,cpu_pct_1core
makeflow,396,6201.309,773.285
makeflow,398,12112.238,2558.986
makeflow,400,9698.145,1448.121
makeflow,402,12119.328,1602.631
makeflow,404,9676.164,4785.379
makeflow,406,9676.164,0
makeflow,408,10467.141,1789.907
makeflow,410,6891.758,1768.635
makeflow,412,8412.855,1018.489
makeflow,414,9882.09,1441.484
makeflow,416,6495.039,1327.263
makeflow,418,7818.395,2290.054
makeflow,420,8688.535,2097.945
makeflow,422,10823.781,1459.515
makeflow,424,9054.305,3409.884
makeflow,426,10906.469,1038.607
makeflow,428,6925.773,4706.872
makeflow,431,6925.773,0
makeflow,433,10397.215,1177.447
makeflow,435,8764.375,900.496
makeflow,437,7063.93,2451.874
makeflow,439,7152.332,1157.073
makeflow,441,6452.805,1684.978
makeflow,443,13085.438,4039.048
makeflow,445,9274.715,1508.047
makeflow,447,12769.629,1105.975
makeflow,449,10176.133,1157.602
makeflow,451,7376.242,3049.115
makeflow,453,6661.145,1333.445
makeflow,455,7469.957,812.876
makeflow,457,8183.461,2336.22
makeflow,459,7723.418,1203.987
makeflow,461,6589.707,1479.673
makeflow,463,6797.449,3014.638
makeflow,465,8190.355,1401.188
makeflow,467,12958.73,1470.919
makeflow,469,9152.48,3110.523
makeflow,471,7645.984,1423.574
makeflow,473,10284.102,1617.963
makeflow,475,9334.301,1470.366
makeflow,477,11421.008,1795.115
makeflow,479,11344.59,2208.733
makeflow,481,7294.711,2211.995
makeflow,483,6565.184,1758.351
makeflow,485,5860.188,1391.013
makeflow,487,9778.574,1562.588
makeflow,489,8515.785,2910.573
makeflow,491,9757.621,1637.268
makeflow,493,9773.535,959.406
makeflow,495,8716.227,2065.624
makeflow,497,8525.91,2123.656
makeflow,499,9165.477,1366.856
makeflow,501,10624.645,4654.998
makeflow,504,10624.645,0
makeflow,506,6769.145,972.945
makeflow,508,7259.504,2621.559
makeflow,510,9806.387,2392.521
makeflow,512,8936.785,1602.507
makeflow,514,9097.535,1331.1
makeflow,516,9233.922,1046.207
makeflow,518,10077.27,1751.823
makeflow,520,8992.305,1557.179
makeflow,522,11174.816,1605.217
makeflow,524,7820.902,3139.766
makeflow,526,7216.742,1318.605
makeflow,528,6024.984,2940.578
makeflow,530,8175.055,1740.036
makeflow,532,6632.742,1219.29
makeflow,534,8715.449,919.488
makeflow,536,8974.77,2901.347
makeflow,538,8802.809,1364.621
makeflow,540,9516.523,1567.462
makeflow,542,11899.453,1017.047
makeflow,544,12044.812,1919.488
makeflow,546,9863.164,1679.613
makeflow,548,8999.297,3257.188
makeflow,550,6392.73,1445.202
makeflow,552,7260.957,2760.989
makeflow,554,6298.184,1293.647
makeflow,556,7041.09,920.06
makeflow,558,7954.84,1168.193
makeflow,560,11272.215,3579.088
makeflow,562,11272.215,0
makeflow,564,9698.957,3037.275
makeflow,566,8874.879,1182.42
makeflow,568,8551.637,3644.837
makeflow,570,7133.902,1919.326
makeflow,572,8514.758,1268.299
makeflow,574,8355.984,1423.47
makeflow,576,7862.816,1136.926
makeflow,578,8402.98,2203.937
makeflow,580,10471.477,921.328
makeflow,582,8574.441,2239.021
makeflow,584,8501.184,1145.788
makeflow,586,10208.473,3376.861
makeflow,588,8386.176,1896.225
makeflow,590,7583.777,4145.7
makeflow,593,8613.625,893.738
makeflow,595,8778.648,985.774
makeflow,597,8787.051,2004.43
makeflow,599,7562.758,1350.668
makeflow,601,8672.859,1530.653
makeflow,603,7152.52,2438.596
makeflow,605,8108.738,1155.447
makeflow,607,9066.926,3284.12
makeflow,609,8405.207,1397.794
makeflow,611,8302.113,3024.482
makeflow,613,8302.113,0
makeflow,615,7520.547,2165.65
makeflow,617,6077.645,1476.438
makeflow,619,6389.594,927.253
makeflow,621,7431.086,2524.083
makeflow,623,9691.891,1903.595
makeflow,625,6978.328,2065.139
makeflow,627,7856.035,1792.46
makeflow,629,9150.418,1356.025
makeflow,631,9560.488,3950.987
makeflow,633,9560.488,0
makeflow,635,9814.219,787.452
makeflow,637,9224.047,2779.422
makeflow,639,6141.617,1699.851
makeflow,641,8626.504,1046.232
makeflow,643,10719.172,2405.253
makeflow,645,7616.574,1717.221
makeflow,647,7712.629,2169.581
makeflow,649,9275.973,1656.886
makeflow,651,12961.148,2813.876
makeflow,653,8956.77,1067.515
makeflow,655,8559.586,948.656
makeflow,657,12688.398,1971.518
makeflow,659,6732.156,2069.927
makeflow,661,7406.363,1474.813
makeflow,663,6267.801,2214.562
makeflow,665,6784.402,1978.175
makeflow,667,8147.051,1452.223
makeflow,669,7145.449,2596.594
makeflow,671,9995.066,1541.614
makeflow,673,13775.934,1307.62
makeflow,675,9407.676,909.578
makeflow,677,12888.562,1726.053
makeflow,679,10844.551,1634.164
makeflow,681,10446.359,1533.286
makeflow,683,6921.305,3056.422
makeflow,685,9258.199,2720.119
makeflow,687,9258.199,0
makeflow,689,7148.52,2564.732
makeflow,691,9705.883,1398.035
makeflow,693,7518.867,1798.254
makeflow,695,8021.633,1688.607
makeflow,697,10804.922,2218.663
makeflow,699,10592.465,1773.22
makeflow,701,9688.844,2385.878
makeflow,703,10572.336,1856.317
makeflow,705,11136.426,936.523
makeflow,707,7491.305,1298.975
makeflow,709,6284.371,1340.608
makeflow,711,10319.074,2565.15
makeflow,713,7142.527,1081.402
makeflow,715,10775.672,1773.185
makeflow,717,7746.969,3035.178
makeflow,719,8986.762,1394.699
makeflow,721,8718.789,1983.296
makeflow,723,12359.586,2346.923
makeflow,725,8801.523,1192.194
makeflow,727,8001.336,1671.823
makeflow,729,9977.805,1227.099
makeflow,731,7768.84,2365.612
makeflow,733,8181.023,1747.404
makeflow,735,7424.648,1527.878
makeflow,737,6569.797,2887.872
makeflow,739,6781.164,2080.211
makeflow,741,6781.164,0
makeflow,743,11981.094,2785.645
makeflow,745,9102.777,789.839
makeflow,747,14608.023,2227.173
makeflow,749,11727.812,1220.111
makeflow,751,7770.359,4772.482
makeflow,753,7770.359,0
makeflow,755,9834.34,3821.001
makeflow,757,9834.34,0
makeflow,759,5732.34,2984.736
makeflow,761,5732.34,0
makeflow,763,5610.688,1507.129
makeflow,765,6452.543,2606.491
makeflow,767,10077.609,1881.209
makeflow,769,10277.996,1362.962
makeflow,771,12127.164,961.234
makeflow,773,10743.012,3373.308
makeflow,775,10252.727,1695.132
makeflow,777,12765.703,1787.895
makeflow,779,9448.18,2597.529
makeflow,781,8390.254,1788.606
makeflow,783,6608.207,914.04
makeflow,785,5175.766,1469.575
makeflow,787,8641.676,1295.554
makeflow,789,6079.324,2323.724
makeflow,791,7674.906,986.7
makeflow,793,4991.84,1621.767
makeflow,795,689.379,819.013
makeflow,797,689.379,0.005
makeflow,799,689.379,0.003
makeflow,801,689.379,0.004
makeflow,803,689.379,0.005
makeflow,805,689.379,0.005
makeflow,807,689.379,0.001
makeflow,809,689.379,0.003
makeflow,811,689.379,0.004
makeflow,813,689.379,0.004
makeflow,815,689.379,0.002
makeflow,817,689.379,0.003
makeflow,819,689.379,0.001
makeflow,821,689.379,0.005
makeflow,823,689.379,0.004
makeflow,825,689.379,0.006
makeflow,827,689.379,0.002
makeflow,829,689.379,0.004
makeflow,831,689.379,0.002
makeflow,833,689.379,0.008
makeflow,835,689.379,0.002
makeflow,837,689.379,0.004
makeflow,839,689.379,0.005
makeflow,841,689.379,0.004
makeflow,843,689.379,0.004
makeflow,845,689.379,0.003
makeflow,847,689.379,0.004
makeflow,849,689.379,0.002
makeflow,851,689.379,0.004
makeflow,853,689.379,0.005
makeflow,855,689.379,0.002
makeflow,857,689.379,0.007
makeflow,859,689.379,0.003
makeflow,861,689.379,0.004
makeflow,863,689.379,0.002
makeflow,865,689.379,0.003
makeflow,867,689.379,0.006
makeflow,869,689.379,0.001
makeflow,871,689.379,0.006
makeflow,873,689.379,0.002
makeflow,875,689.379,0.003
makeflow,877,689.379,0.006
makeflow,879,689.379,0.003
makeflow,881,689.379,0.002
makeflow,883,689.379,0.004
makeflow,885,689.379,0.007
makeflow,887,689.379,0.002
makeflow,889,689.379,0.002
makeflow,891,689.379,0.003
makeflow,893,689.379,0.007
makeflow,895,689.379,0.002
makeflow,897,689.379,0.002
makeflow,899,689.379,0.005
makeflow,901,689.379,0.006
makeflow,903,689.379,0.004
makeflow,905,689.379,0.005
makeflow,907,689.379,0.002
makeflow,909,689.379,0.003
makeflow,911,689.379,0.005
makeflow,913,689.379,0.002
makeflow,915,689.379,0.005
makeflow,917,689.379,0.007
makeflow,919,689.379,0.004
makeflow,921,689.379,0.003
makeflow,923,689.379,0.004
makeflow,925,689.379,0.003
makeflow,927,689.379,0.001
