group,_bin,mem_mb,cpu_pct_1core
parsl,362.0,12906.227,1072.648
parsl,364.0,12727.746,474.271
parsl,366.0,12993.293,1491.617
parsl,368.0,13266.168,807.916
parsl,370.0,13158.523,1329.508
parsl,372.0,13799.797,1741.917
parsl,374.0,12961.211,1740.67
parsl,376.0,13244.387,752.183
parsl,378.0,12730.645,1647.393
parsl,380.0,12711.793,811.272
parsl,382.0,12892.047,1089.336
parsl,384.0,13238.516,1370.576
parsl,386.0,13426.652,2175.69
parsl,388.0,13664.09,1354.678
parsl,390.0,13450.793,1347.012
parsl,392.0,13304.504,1596.22
parsl,394.0,12706.34,1545.202
parsl,396.0,12686.867,936.178
parsl,398.0,12896.418,956.623
parsl,400.0,13040.305,796.649
parsl,402.0,13576.723,1276.687
parsl,404.0,13443.922,2833.286
parsl,406.0,13594.094,1231.167
parsl,408.0,12690.527,1918.7
parsl,410.0,12681.488,629.631
parsl,412.0,12804.387,394.263
parsl,414.0,12930.93,1164.324
parsl,416.0,13127.066,1106.891
parsl,418.0,13631.973,1600.647
parsl,420.0,13532.594,1519.83
parsl,422.0,13342.184,1557.842
parsl,424.0,13608.691,1188.008
parsl,426.0,12666.938,881.244
parsl,428.0,12690.352,837.058
parsl,430.0,12689.695,602.671
parsl,432.0,12977.164,1505.738
parsl,434.0,13387.086,1185.808
parsl,436.0,13471.152,1424.169
parsl,438.0,13378.309,2268.071
parsl,440.0,13289.387,1191.372
parsl,442.0,13309.129,1001.126
parsl,444.0,12609.918,1426.086
parsl,446.0,12754.758,788.292
parsl,448.0,13115.902,1658.882
parsl,450.0,13586.297,1486.236
parsl,452.0,13585.469,1702.303
parsl,454.0,13541.555,1071.814
parsl,456.0,13313.406,2161.365
parsl,458.0,13074.953,983.123
parsl,460.0,12721.602,958.978
parsl,462.0,12898.301,1428.895
parsl,464.0,12898.301,0.0
parsl,466.0,13359.711,1435.972
parsl,468.0,13858.512,1620.352
parsl,470.0,13583.59,3039.139
parsl,472.0,13298.18,865.253
parsl,474.0,13069.789,877.613
parsl,476.0,12720.816,1407.639
parsl,478.0,12648.371,731.934
parsl,480.0,12831.164,847.596
parsl,482.0,13193.0,1094.596
parsl,484.0,13491.098,2618.329
parsl,486.0,13149.457,1088.487
parsl,488.0,13249.805,2418.415
parsl,490.0,12732.273,780.692
parsl,492.0,12717.93,764.941
parsl,494.0,12677.309,1430.362
parsl,496.0,12965.766,1154.166
parsl,498.0,13347.668,1407.702
parsl,500.0,13677.582,1203.554
parsl,502.0,13534.855,1773.654
parsl,504.0,13412.312,2287.96
parsl,506.0,12985.887,903.399
parsl,508.0,12677.934,568.511
parsl,510.0,12708.078,821.394
parsl,512.0,12785.582,770.542
parsl,514.0,13020.402,949.766
parsl,516.0,13405.848,2331.63
parsl,518.0,13739.129,1020.174
parsl,520.0,13416.59,1293.28
parsl,522.0,13293.133,1963.603
parsl,524.0,12770.555,984.307
parsl,526.0,12743.051,423.212
parsl,528.0,12954.68,1562.657
parsl,530.0,13323.887,1551.248
parsl,532.0,13537.656,694.641
parsl,534.0,13457.781,1252.301
parsl,536.0,13847.754,2030.558
parsl,538.0,13020.734,1040.081
parsl,540.0,13135.582,2262.006
parsl,542.0,12726.125,850.794
parsl,544.0,12914.789,929.916
parsl,546.0,13233.684,1366.787
parsl,548.0,13389.91,1284.329
parsl,550.0,13574.086,1344.056
parsl,552.0,12994.82,3020.808
parsl,554.0,13028.898,1150.003
parsl,556.0,12646.934,1218.121
parsl,558.0,12631.727,678.225
parsl,560.0,12795.648,1249.851
parsl,562.0,13097.156,1004.937
parsl,564.0,13599.23,1478.268
parsl,566.0,13594.73,2751.81
parsl,568.0,13461.309,1457.506
parsl,570.0,13014.305,898.193
parsl,572.0,12645.766,1459.895
parsl,574.0,12660.449,754.936
parsl,576.0,12790.875,1544.254
parsl,578.0,13089.281,1014.568
parsl,580.0,13586.645,1481.392
parsl,582.0,13257.113,2351.738
parsl,584.0,13450.719,1412.995
parsl,586.0,13453.547,791.09
parsl,588.0,12656.363,1843.744
parsl,590.0,12600.223,748.513
parsl,592.0,12755.523,770.522
parsl,594.0,13099.027,1284.093
parsl,596.0,13499.523,1251.094
parsl,598.0,13547.57,2671.651
parsl,600.0,13342.691,1311.07
parsl,602.0,13283.801,1781.844
parsl,604.0,12706.496,735.134
parsl,606.0,12805.008,932.791
parsl,608.0,12966.914,1297.031
parsl,610.0,13392.891,1622.187
parsl,612.0,13596.398,1688.419
parsl,614.0,13722.133,1075.257
parsl,616.0,13140.902,1214.93
parsl,618.0,13026.098,1305.882
parsl,620.0,12616.91,1613.562
parsl,622.0,12754.805,724.377
parsl,624.0,12877.246,882.804
parsl,626.0,13320.152,1558.416
parsl,628.0,13504.613,2521.173
parsl,630.0,13675.574,856.445
parsl,632.0,13209.582,1341.485
parsl,634.0,12953.93,1294.516
parsl,636.0,12629.574,572.087
parsl,638.0,12850.09,684.817
parsl,640.0,13045.602,1204.74
parsl,642.0,13582.656,1244.906
parsl,644.0,13890.109,2107.263
parsl,646.0,17344.449,1726.537
parsl,648.0,14241.902,1341.827
parsl,650.0,13130.707,1787.329
parsl,652.0,13292.262,398.854
parsl,654.0,13883.652,1116.648
parsl,656.0,13053.754,1268.022
parsl,658.0,13769.715,1353.164
parsl,660.0,14088.395,1094.873
parsl,662.0,14569.879,3167.402
parsl,664.0,12959.848,1316.642
parsl,666.0,12908.117,638.027
parsl,668.0,13081.0,432.617
parsl,670.0,15572.066,885.83
parsl,672.0,13067.961,1569.476
parsl,674.0,13940.008,1801.376
parsl,676.0,14040.188,1105.219
parsl,678.0,14352.164,1032.782
parsl,680.0,14972.293,1976.501
parsl,682.0,12927.891,999.526
parsl,684.0,13134.473,394.092
parsl,686.0,13441.324,323.92
parsl,688.0,13886.953,1819.382
parsl,690.0,13247.234,874.193
parsl,692.0,14250.445,2384.694
parsl,694.0,15948.047,1552.214
parsl,696.0,14600.656,1534.435
parsl,698.0,12906.609,1371.794
parsl,700.0,13000.203,414.631
parsl,702.0,13430.703,451.694
parsl,704.0,13784.48,1284.687
parsl,706.0,13669.758,2078.344
parsl,708.0,14090.113,1360.55
parsl,710.0,14082.984,1276.101
parsl,712.0,14484.277,2724.863
parsl,714.0,13170.367,814.579
parsl,716.0,13111.004,483.373
parsl,718.0,13904.281,1210.968
parsl,720.0,13118.379,1314.449
parsl,722.0,13822.285,1351.634
parsl,724.0,14218.109,919.631
parsl,726.0,14437.477,2176.607
parsl,728.0,14495.816,1967.885
parsl,730.0,13114.238,622.86
parsl,732.0,13158.594,825.852
parsl,734.0,13453.574,312.732
parsl,736.0,13905.594,1730.358
parsl,738.0,13332.211,935.176
parsl,740.0,14278.836,2229.674
parsl,742.0,15917.629,1556.441
parsl,744.0,14635.676,2005.889
parsl,746.0,13394.816,787.501
parsl,748.0,12963.863,725.205
parsl,750.0,13541.91,746.548
parsl,752.0,13331.086,1630.76
parsl,754.0,13435.258,1035.365
parsl,756.0,14135.629,1533.754
parsl,758.0,14270.922,930.78
parsl,760.0,14541.668,2437.224
parsl,762.0,13909.176,1063.881
parsl,764.0,13000.668,1136.879
parsl,766.0,14876.086,732.347
parsl,768.0,13699.734,640.829
parsl,770.0,13329.172,783.449
parsl,772.0,13388.578,1412.243
parsl,774.0,14208.234,1595.978
parsl,776.0,14231.574,2696.041
parsl,778.0,14189.398,1433.893
parsl,780.0,13018.832,1403.763
